"Identifier","Snippet","Label","Vulnerability Type","Severity","Function Name","Source","Timestamp","Reviewer Notes","Confidence Score"
"001","document.getElementById('content').innerHTML = userInput;","Vulnerable","Reflected XSS","High","updateContent","GitHub Repo XYZ","2023-06-01","Direct use of innerHTML with user input","0.9"
"002","document.getElementById('content').textContent = userInput;","Safe","N/A","N/A","displayMessage","Internal Project ABC","2023-05-20","Safe textContent usage for user data","1.0"
"003","var userData = '<script>' + userProvidedData + '</script>';","Vulnerable","Stored XSS","High","storeUserData","Open Source Project 123","2023-04-15","User data concatenated in script tag","0.85"
"004","const safeHtml = DOMPurify.sanitize(userInput); document.body.innerHTML = safeHtml;","Safe","N/A","N/A","sanitizeAndDisplay","Blog Post 456","2023-03-10","Uses DOMPurify to sanitize user input","1.0"
"005","$('#info').html(userDetails);","Vulnerable","Reflected XSS","Medium","updateInfo","Stack Overflow Snippet","2023-02-25","jQuery html method vulnerable to XSS","0.75"
"006","element.setAttribute('href', 'http://example.com/?user=' + encodeURIComponent(userInfo));","Safe","N/A","N/A","setUserLink","GitHub Gist 789","2023-01-30","Correct use of encodeURIComponent for user data in URLs","0.95"
"007","document.write('Welcome, ' + untrustedUserInput);","Vulnerable","Reflected XSS","High","welcomeUser","Online Tutorial 321","2023-01-15","Uses document.write with untrusted input","0.8"
"008","element.style.backgroundColor = '#' + userInput;","Potentially Vulnerable","DOM-based XSS","Medium","changeBackground","User Forum Thread 654","2022-12-10","Directly using user input for style can lead to XSS","0.6"
"009","var userText = escapeHtml(userInput); document.getElementById('display').innerHTML = userText;","Safe","N/A","N/A","displayUserText","Coding Blog 987","2022-11-05","Escapes HTML in user input before rendering","0.95"
"010","eval('('+userInput+')');","Vulnerable","Reflected XSS","High","evaluateInput","Security Workshop 210","2022-10-20","Using eval with user input, high risk of XSS","0.7"
"011","const userName = userInput.trim(); document.querySelector('#greeting').textContent = Hello, ${userName};","Safe","N/A","N/A","greetUser","Personal Project 432","2022-09-15","Trims and safely displays user input as text","1.0"
"012","document.querySelector('#user-input').outerHTML = '<div>' + userInput + '</div>';","Vulnerable","Stored XSS","High","modifyOuterHtml","Web Dev Forum 876","2022-08-30","Incorporates user input into HTML structure without sanitization","0.65"
"013","fetch('/api/data').then(response => response.text()).then(data => document.getElementById('data').innerHTML = data);","Potentially Vulnerable","Reflected XSS","Medium","fetchAndDisplayData","API Documentation 543","2022-07-25","Uses innerHTML for displaying fetched data, potential for XSS if data is not sanitized","0.55"
"014","XMLHttpRequest.onreadystatechange = function() { if (this.readyState == 4 && this.status == 200) { document.getElementById('result').textContent = this.responseText; }};","Safe","N/A","N/A","updateResult","Ajax Tutorial 369","2022-06-10","Safely updates text content with response data, preventing XSS","1.0"
"015","const userLink = <a href='${userInput}'>Link</a>; document.body.innerHTML = userLink;","Vulnerable","Reflected XSS","High","createUserLink","Developer Blog 258","2022-05-05","Creates hyperlink with user input, vulnerable to XSS if input is not sanitized","0.6"
"016","React.createElement('div', {dangerouslySetInnerHTML: {__html: userInput}});","Vulnerable","Reflected XSS","High","renderHtml","React Documentation","2022-04-20","Uses React's dangerouslySetInnerHTML, can lead to XSS if not handled properly","0.7"
"017","const userMessage = <span>${escape(userInput)}</span>; document.body.innerHTML = userMessage;","Safe","N/A","N/A","displayUserMessage","Frontend Dev Blog","2022-03-15","Template literals with escaped user input for safety","1.0"
